Ref,Val,Package,PosX,PosY,Rot,Side
C1,22pF,C_0805_2012Metric,141.1,-94.95,90,top
C2,10uF,C_0805_2012Metric,124.3,-111.45,270,top
C3,0.1uF,C_0805_2012Metric,149.4,-113.15,270,top
C4,22pF,C_0805_2012Metric,141.1,-105.15,270,top
C5,10uF,C_0805_2012Metric,136.5,-111.45,90,top
C6,0.1uF,C_0805_2012Metric,165.65,-93,0,top
C7,0.1uF,C_0805_2012Metric,168.35,-106.4,180,top
C8,0.1uF,C_0805_2012Metric,151.9,-91.25,90,top
C9,0.1uF,C_0805_2012Metric,154.65,-108.2,180,top
C10,0.1uF,C_0805_2012Metric,185.05,-116.5,180,top
C11,0.1uF,C_0805_2012Metric,126.5,-111.45,270,top
C12,0.1uF,C_0805_2012Metric,136.5,-116.75,90,top
C13,0.1uF,C_0805_2012Metric,176.6,-112.15,90,top
D1,POWER LED,LED_0805_2012Metric,125.5625,-117.5,180,top
D2,LED1,LED_0805_2012Metric,143,-116.6625,270,top
D3,LED2,LED_0805_2012Metric,145.1,-116.6625,270,top
J3,USB4105-GF-A,DL_Usb_C_USB4105-GF-A,115.95,-98.12,270,top
J4,Conn_01x30,Hirose_FH12-30S-0.5SH_1x30-1MP_P0.50mm_Horizontal,178.5,-98.6,90,top
Q1,Q_PNP_BEC,SOT-23,173.3,-105.1,90,top
R1,220R,R_0805_2012Metric,140.8,-81.3875,270,top
R2,220R,R_0805_2012Metric,142.8,-81.4125,270,top
R3,220R,R_0805_2012Metric,167.5,-81.7875,270,top
R4,220R,R_0805_2012Metric,169.5,-81.7875,270,top
R5,10M,R_0805_2012Metric,141.1,-100.1125,90,top
R6,10K,R_0805_2012Metric,161.9,-116.2125,90,top
R7,0.5K,R_0805_2012Metric,140.9,-116.6875,90,top
R8,0.5K,R_0805_2012Metric,147.2,-116.6,90,top
R9,1k,R_0805_2012Metric,125.5875,-114.7,180,top
R10,10K,R_0805_2012Metric,157.5,-86.9875,90,top
R11,20R,R_0805_2012Metric,126.4875,-99.3,180,top
R12,20R,R_0805_2012Metric,126.4875,-97.3,180,top
R13,1K,R_0805_2012Metric,126.3,-94.3125,270,top
R14,220R,R_0805_2012Metric,169.3125,-103.4,0,top
R15,100mR,R_2010_5025Metric,189.2,-109.6,0,top
R16,5.1K,R_0805_2012Metric,181.2,-116.9875,90,top
R17,5.1K,R_0805_2012Metric,177.1,-117.0875,90,top
R18,5.1K,R_0805_2012Metric,179.4875,-113,0,top
R19,5.1K,R_0805_2012Metric,179.4875,-110.9,0,top
R20,5.1K,R_0805_2012Metric,124.2,-94.3875,90,top
R21,5.1K,R_0805_2012Metric,124.2,-102.4875,90,top
R22,10K,R_0805_2012Metric,164.6875,-106.4,0,top
R23,100R,R_0805_2012Metric,173.2875,-102.2,0,top
R24,10K,R_0805_2012Metric,164.9,-116.2125,270,top
U1,LM1117-3.3,SOT-223,131.4,-114.1,270,top
U2,STM32F103RCTx,LQFP-64_10x10mm_P0.5mm,158.1,-98.5,0,top
U4,W25Q32JVSS,DL_W25q32_SOIC127P790X216-8N,169.005,-113.3,90,top
Y1,8M,Crystal_SMD_HC49-SD,144.9,-100.05,270,top
